# AI Version: A2
# Test Type: 1v1
# Time: 20250628_111157
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,19.74778,111.8722,59.13754,4,3,3,4,1,2,0,1
1,Base AI,45.52891,154,119,15,9,1,7,6,4,0,1
2,Base AI,29.76229,147,86.07787,14,4,1,5,1,4,0,0
3,Base AI,32.35964,131.4585,103.2064,15,9,2,4,1,4,0,0
4,Base AI,35.83424,128.7522,71.81197,12,3,2,5,3,4,0,3
5,Base AI,54.30936,140,158.5786,16,5,1,14,9,3,0,0
6,Base AI,17.75315,112,43.75,9,3,1,2,0,1,0,0
7,Base AI,24.31028,134.75,58.76076,11,5,2,3,1,3,0,0
8,Draw,25.41427,110.274,115.846,10,4,3,4,0,1,0,0
9,Base AI,31.10007,119,71.2617,13,3,1,5,2,3,0,3
10,Base AI,54.73872,189,112,24,12,2,3,3,9,0,0
11,Base AI,25.46108,119,75.50192,6,1,2,8,3,0,0,0
12,Base AI,18.01935,123.6626,49.86245,7,2,2,3,0,2,0,1
13,Base AI,54.81399,156.9249,113.75,19,7,1,7,7,7,0,0
14,Base AI,16.95182,102.5961,47.25,5,4,2,2,1,0,0,0
15,Base AI,25.04122,140,62.41656,14,3,1,4,0,4,0,1
16,Base AI,21.8777,129.5,81.07265,9,5,3,4,0,1,0,0
17,Base AI,36.0066,168,60.00633,16,3,2,3,0,7,0,0
18,Base AI,19.79695,126,31.5,11,2,1,3,0,3,0,3
19,Base AI,35.32611,140,92.67,16,6,1,5,2,4,0,1
20,Base AI,27.71673,147,59.18676,14,4,1,3,1,3,0,0
21,Base AI,37.10141,154,83.11356,15,5,1,5,3,5,0,1
22,Base AI,15.34189,108.5,31.5,3,2,3,2,1,2,0,2
23,Base AI,45.97375,128.4301,91.25546,15,6,3,6,5,3,0,0
24,Base AI,22.42154,147,71.29044,7,1,2,6,1,2,0,0
25,Base AI,29.35561,121.0768,49,8,3,3,3,2,1,0,0
26,Base AI,30.78706,120.75,59.97543,12,3,2,4,2,2,0,0
27,Base AI,23.04209,109.5987,45.48064,8,2,2,3,1,1,0,0
28,Base AI,31.02857,150.8521,74.85719,14,5,3,4,0,5,0,0
29,Base AI,25.71003,131.543,32.81333,6,2,4,2,0,2,0,0
30,Base AI,76.14187,176.75,198.799,20,9,2,17,12,5,2,2
31,Base AI,30.67863,140,90.76859,16,8,1,4,1,4,0,0
32,Base AI,39.90712,133,115.4013,8,7,2,7,7,0,0,0
33,Base AI,21.95779,133,51.51813,8,3,2,4,0,1,0,0
34,Utility AI,28.70773,126,103.9097,10,6,3,4,0,4,0,0
35,Base AI,25.06197,133,43.58331,8,1,2,4,1,2,0,3
36,Base AI,21.86458,126.8035,38.87084,9,1,2,3,0,3,0,1
37,Base AI,29.87842,147,61.3939,14,4,1,3,1,5,0,2
38,Utility AI,98.78805,105.8332,302.6045,9,15,4,24,25,3,1,0
39,Base AI,72.19898,182,221.1479,22,12,1,14,12,4,0,0
40,No winner (Timeout),600.106,47.2233,68.25,3,7,2,2,5,1,0,0
41,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
50,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
51,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
52,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
53,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
54,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
55,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
56,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
57,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
58,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
59,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
60,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
61,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
62,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
63,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
64,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
65,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
66,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
67,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
68,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
69,No winner (Timeout),600.0737,0,0,0,0,0,0,0,0,0,0
