# AI Version: A3
# Test Type: 1v1
# Time: 20250628_145400
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,46.77306,204.7708,64.80533,18,5,3,3,1,9,0,0
1,Base AI,97.55341,230.9681,222.5853,25,9,2,18,17,13,0,0
2,Base AI,41.26659,171.5,107.321,19,5,2,5,1,10,0,0
3,Base AI,15.76813,126,34.37151,8,2,1,2,0,1,0,0
4,Base AI,29.56793,130.1803,59.5,11,6,2,3,1,3,0,1
5,Base AI,21.67297,140,59.5,7,3,2,4,1,2,0,0
6,Base AI,62.60255,180.1024,142.3429,18,7,2,10,9,9,0,0
7,Base AI,32.5026,162.75,50.75,11,6,4,1,0,8,0,2
8,Base AI,24.93375,119,73.73463,9,3,2,5,1,2,0,0
9,Base AI,29.63662,125.9225,126.7082,14,5,1,6,1,3,0,0
10,Base AI,22.77851,109.3216,45.23283,8,1,2,4,1,1,0,0
11,Utility AI,46.64324,117.8719,158.9329,12,10,2,10,8,3,3,0
12,Base AI,44.3866,141.6839,91.39188,13,4,2,10,5,5,0,1
13,Base AI,58.22343,210,123.2255,22,8,2,7,5,8,0,0
14,Base AI,28.61419,113.75,40.25,11,3,2,3,2,2,0,4
15,Utility AI,59.81327,70,208.8097,3,14,1,14,17,0,3,0
16,Utility AI,129.0908,211.75,342.4635,25,20,2,26,30,10,3,0
17,Utility AI,92.42687,140,272.8379,16,12,1,22,22,5,1,0
18,Base AI,31.29965,160.7331,54.25,12,5,2,2,1,6,0,0
19,Base AI,33.96405,147,70,8,6,2,4,4,1,1,0
20,Base AI,28.0331,161,75.25,9,8,2,2,2,2,0,0
21,Base AI,28.65418,127.75,38.5,9,3,3,3,1,3,0,3
22,Base AI,101.641,218.75,235.9149,22,13,3,19,17,7,2,1
23,Base AI,48.18977,140,126.8695,16,6,1,11,7,4,0,0
24,Base AI,35.75706,162.75,86.55795,15,4,2,6,2,5,0,0
25,Base AI,53.84391,155.75,135.2605,17,5,2,10,7,3,0,0
26,Base AI,37.50404,154,112.4956,15,5,1,7,4,3,0,0
27,Base AI,59.53043,180.25,92.09706,22,5,4,7,5,11,0,0
28,Base AI,35.12664,167.0345,50.75,15,6,3,1,0,6,0,0
29,Base AI,53.67914,196,103.818,20,6,2,7,4,8,0,0
30,No winner (Timeout),600.0629,98,56,6,3,2,5,3,3,0,1
31,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
32,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
33,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
34,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
35,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
36,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
37,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
38,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
39,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
50,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
51,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
52,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
53,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
54,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
55,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
56,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
57,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
58,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
59,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
60,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
61,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
62,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
63,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
64,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
65,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
66,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
67,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
68,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
69,No winner (Timeout),600.0778,0,0,0,0,0,0,0,0,0,0
