# AI Version: A1
# Test Type: 1v1
# Time: 20250626_163927
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,35.65392,749.4572,265.6008,54,10,15,10,2,13,0,8
1,Base AI,31.33316,823.101,246.5302,48,11,12,10,4,10,0,6
2,Base AI,22.69699,875.9599,177.4423,33,5,10,9,3,4,0,1
3,Base AI,34.96127,693.9155,345.7534,48,9,10,26,7,10,0,4
4,Base AI,27.40307,776.5591,155.0075,35,2,12,9,2,11,0,13
5,Base AI,27.58014,768.6254,240.0211,38,7,12,11,2,12,0,3
6,Base AI,25.64457,618.3536,180.7693,39,6,10,8,2,9,0,1
7,Base AI,35.4604,750.4225,386.0867,29,8,17,23,2,6,0,5
8,Base AI,29.578,738.5779,218.8234,35,10,17,10,4,4,0,3
9,Base AI,33.02629,672.7042,236.0439,35,9,12,15,6,7,0,5
10,Base AI,25.12343,705.7333,164.4674,27,5,12,7,2,5,0,5
