# AI Version: A3
# Test Type: 1v1
# Time: 20250629_110935
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Utility AI,52.07651,89.22098,210.751,9,13,1,11,13,0,0,0
1,Utility AI,72.6128,161,209.5694,19,13,1,14,13,4,0,0
2,Utility AI,42.60875,119,153.7716,13,12,1,6,7,0,0,0
3,Utility AI,33.65248,77,129.8805,7,4,1,9,5,0,1,0
4,Base AI,33.81059,120.75,113.75,12,10,2,5,3,2,0,0
5,Base AI,28.10467,105,119.6038,11,10,1,4,3,0,0,0
6,Base AI,25.71361,105,106.059,11,8,1,5,2,0,0,0
7,Base AI,26.9264,119,95.17407,13,7,1,6,1,2,0,0
8,Base AI,23.83134,133,52.5,12,6,1,1,0,4,0,2
9,Base AI,39.26395,112,141.4911,12,14,1,5,6,1,0,0
10,Utility AI,16.57822,91,100.17,9,3,1,5,0,1,0,0
11,Base AI,51.70057,127.9395,149.2154,7,11,3,11,11,1,0,1
12,Base AI,28.15521,105,115.4871,11,11,1,4,3,0,0,0
13,Utility AI,23.2222,105,123.2909,11,5,1,4,1,1,0,0
14,Utility AI,17.14552,84,132.0738,8,5,1,4,1,0,0,0
15,Utility AI,18.69237,98,102.3032,10,5,1,3,0,1,0,0
16,Utility AI,16.42883,91,111.8591,9,4,1,5,0,0,0,0
17,Utility AI,47.07909,64.75,185.9055,4,9,2,14,13,0,3,0
18,Utility AI,21.56353,112,106.7592,12,2,1,6,0,3,0,0
19,Utility AI,15.75862,84,105.7016,8,2,1,5,0,1,0,0
20,Utility AI,34.3151,105,146.4663,11,13,1,4,6,1,0,0
21,Utility AI,71.09191,91,239.9741,9,16,1,14,19,1,1,0
22,Utility AI,18.25774,84,122.0922,8,5,1,5,2,1,0,0
23,Utility AI,48.75177,85.75,169.3741,7,10,3,11,10,0,1,0
24,Utility AI,97.97144,35,318.4017,1,21,1,20,33,0,3,0
25,Utility AI,15.45051,77,114.4048,7,3,1,6,1,0,0,0
26,Utility AI,53.66253,77,200.1525,7,9,1,15,14,0,1,0
27,Utility AI,33.87944,112,145.7927,12,11,1,5,5,0,0,0
28,Base AI,22.48308,112,99.52664,12,7,1,3,0,1,0,0
29,Utility AI,47.42051,119,183.2706,13,10,1,10,9,1,0,0
30,Utility AI,71.91029,105,262.4746,12,9,1,19,18,1,0,0
31,Utility AI,33.61891,126,124.2169,14,12,1,3,3,2,0,0
32,Utility AI,87.82678,77,327.164,7,14,1,22,28,0,0,0
33,No winner (Timeout),10000.02,0,0,0,0,0,0,0,0,0,0
34,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
35,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
36,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
37,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
38,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
39,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),10000.05,0,0,0,0,0,0,0,0,0,0
