# AI Version: A2
# Test Type: 1v1
# Time: 20250628_091316
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,23.45693,119,62.87834,10,0,1,7,1,2,0,3
1,Base AI,58.93737,243.6519,121.999,18,0,6,11,2,12,0,0
2,Base AI,22.01317,141.75,43.75,5,0,3,5,1,1,0,0
3,Base AI,40.46041,182,105.2356,11,0,3,10,3,5,0,0
4,Base AI,49.83598,168,121.9627,17,0,2,13,4,5,0,0
5,Base AI,58.3829,168,80.32246,16,0,2,8,1,6,0,0
6,Base AI,36.76649,119,98.91405,13,0,1,10,3,1,2,1
7,Base AI,34.61411,148.75,59.10984,12,0,3,6,1,6,0,0
8,Base AI,54.21054,197.75,98.48895,23,0,3,9,2,11,0,0
9,Base AI,35.0193,133,47.167,15,0,1,7,2,6,0,4
10,Base AI,25.7123,121.7805,74.30397,9,0,4,7,0,4,0,1
11,Base AI,34.62872,112,81.15369,6,0,3,10,5,3,0,1
12,Base AI,49.33012,180.6998,68.15943,18,0,4,9,3,9,0,0
13,Base AI,46.40557,162.6227,71.37328,15,0,3,7,3,6,0,0
14,Base AI,33.23427,122.848,17.5,10,0,6,2,0,3,0,0
15,Base AI,54.24728,190.75,85.79141,22,0,2,8,3,9,0,0
16,Utility AI,21.39479,105,114.1577,11,0,1,6,0,1,0,0
17,Base AI,43.32778,158.8814,57.74322,15,0,2,6,3,4,0,0
18,Base AI,32.27767,169.75,48.95478,13,0,2,5,2,6,0,0
19,Base AI,52.33377,183.75,107.7712,21,0,2,11,4,8,0,0
20,Base AI,38.10437,133,83.91204,11,0,3,8,3,2,0,0
21,Base AI,55.66286,203,45.41038,25,0,2,7,2,12,0,0
22,Base AI,61.50645,221.1066,88.82571,22,0,3,9,4,14,0,0
23,Base AI,27.91858,154,55.52825,11,0,2,6,0,5,0,0
24,Base AI,33.66507,147,88.08491,13,0,2,8,1,5,0,0
25,Base AI,66.64072,226.6622,89.7432,18,0,5,11,6,10,0,0
26,Utility AI,28.67936,118.5507,123.2561,13,0,1,7,1,4,0,0
27,Base AI,52.26054,176.75,105.423,20,0,2,11,4,8,0,0
28,Base AI,44.2915,151.0983,104.134,13,0,3,10,4,6,0,0
29,Base AI,47.37812,175,138.5815,17,0,3,12,3,5,0,1
30,Base AI,52.34253,175,108.7732,17,0,2,13,5,5,0,0
31,Base AI,51.95842,183.75,89.35968,14,0,4,10,5,6,0,0
32,Base AI,29.04454,160.2205,44.86435,8,0,3,6,1,6,0,1
33,Base AI,26.22531,146.3448,57.45482,6,0,3,7,1,4,0,1
34,No winner (Timeout),300.0029,0,0,0,0,0,0,0,0,0,0
35,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
36,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
37,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
38,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
39,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),300.1116,0,0,0,0,0,0,0,0,0,0
