# AI Version: A1
# Test Type: 1v1
# Time: 20250626_164456
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,35.14254,693.7091,297.2899,58,9,13,16,4,10,0,7
1,Base AI,24.4078,645.3875,220.4126,25,6,13,13,5,6,2,4
2,Base AI,27.86508,691.5415,106.8072,55,4,11,8,2,12,0,14
3,Base AI,27.83656,702.9174,232.7949,37,3,14,18,4,7,0,7
4,Base AI,29.48219,724.1857,226.6702,41,3,12,13,1,9,0,7
5,Base AI,23.82907,1010.761,137.7445,33,6,12,5,1,13,0,2
6,Base AI,20.66778,679.4218,178.7639,22,7,13,6,0,7,0,4
7,Base AI,30.06834,726.8054,194.907,49,5,13,12,1,7,0,8
8,Base AI,32.35143,724.3661,214.1165,41,11,16,6,2,6,0,8
9,Base AI,26.28307,654.2115,134.2685,40,3,13,9,1,6,0,3
10,Base AI,29.26876,701.4914,166.8681,39,7,18,8,1,8,0,3
11,Base AI,31.47007,785.924,185.895,29,8,12,10,2,9,0,8
12,Base AI,40.543,787.4598,336.0869,26,9,24,18,3,4,0,1
13,Base AI,33.84457,867.1265,178.5541,34,6,19,7,2,12,0,6
14,Base AI,38.28979,725.8775,331.249,17,10,19,14,4,3,3,2
15,Base AI,47.79071,639.2108,301.7481,26,11,25,20,5,3,0,3
16,Base AI,40.69453,712.7026,322.2765,46,19,14,18,4,6,1,4
17,Base AI,41.82687,956.0557,211.5139,27,16,23,9,0,11,0,2
18,Base AI,75.5933,1053.724,364.2236,26,13,44,16,0,3,0,7
19,Base AI,57.01946,950.2531,248.3964,27,10,34,14,3,7,1,1
20,Base AI,68.00671,1010.484,447.1548,30,12,33,18,4,6,2,11
21,Base AI,63.98651,857.0038,265.8158,20,9,38,15,0,5,0,6
22,Base AI,64.47879,758.7484,293.8421,31,6,31,20,0,9,0,3
23,Base AI,61.39769,870.344,174.9733,29,11,35,9,0,8,0,7
24,Base AI,49.44292,779.4982,212.0237,23,11,30,13,5,2,0,5
