# AI Version: A3
# Test Type: 1v1
# Time: 20250629_103636
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Utility AI,17.40138,84,120.1188,8,5,1,5,1,0,0,0
1,Utility AI,13.20798,77,102.4348,7,4,1,4,0,1,0,0
2,Base AI,30.49063,133,101.9907,15,7,1,5,1,2,0,0
3,Base AI,21.69877,105,92.00177,11,6,1,3,1,0,0,0
4,Utility AI,24.18238,112,115.9764,12,7,1,4,1,2,0,0
5,Utility AI,20.84755,105,105.5309,11,6,1,4,0,2,0,0
6,Base AI,20.28886,112,106.2697,12,1,1,6,0,0,0,0
7,Utility AI,14.74064,84,104.3132,8,4,1,6,0,0,0,0
8,Utility AI,16.56006,84,110.9095,8,3,1,5,1,0,0,0
9,Utility AI,46.14177,121.5286,183.4099,12,6,2,13,8,1,0,0
10,Base AI,54.24355,133,170.632,15,13,1,10,10,1,0,0
11,Draw,22.24087,105,114.0221,11,8,1,5,1,0,0,0
12,Base AI,20.85449,91,57.75,5,2,2,6,2,2,0,1
13,Draw,33.27737,119,138.1406,13,10,1,6,4,1,0,0
14,Utility AI,17.93357,91,111.596,10,3,1,5,0,0,0,0
15,Base AI,24.60861,112,95.34434,12,6,1,5,1,1,0,1
16,Base AI,19.44922,126,86.99496,11,8,1,2,0,1,0,0
17,Draw,22.01825,105,127.0918,11,5,1,4,1,0,0,0
18,Base AI,25.16794,126,81.97508,14,7,1,3,0,3,0,0
19,Base AI,24.90902,119,88.54051,10,8,1,4,3,0,0,0
20,Base AI,49.55128,161,147,16,17,1,3,8,5,0,0
21,Base AI,48.83796,126,174.7768,14,7,1,13,9,0,0,0
22,Utility AI,28.12194,98,151.4731,10,6,1,8,3,0,0,0
23,Draw,30.45422,126,122.2831,14,9,1,5,2,3,0,0
24,Base AI,27.88582,105,108.0578,11,8,1,5,3,0,0,0
25,Utility AI,38.45054,105,157.9607,11,9,1,9,7,1,0,0
26,Utility AI,20.15223,98,122.3786,10,4,1,5,1,1,0,0
27,Utility AI,18.43557,98,112.1406,10,3,1,3,0,1,0,0
28,Base AI,38.93435,133,144.0726,15,8,1,9,5,1,0,0
29,Base AI,40.07512,140,119.6406,13,12,1,6,6,2,0,0
30,Base AI,39.85474,147,108.9312,14,9,1,5,5,4,0,1
31,Base AI,35.85667,119,123.2059,10,7,2,9,5,0,0,2
32,Utility AI,32.10599,91,156.6927,9,6,1,9,6,0,0,0
33,Base AI,22.38213,105,101.3177,11,6,1,4,1,0,0,0
34,Utility AI,41.11438,112,157.7621,12,12,1,8,7,1,0,0
35,Base AI,32.32425,134.75,96.25,14,11,2,2,2,2,0,1
36,Utility AI,20.92146,95.84898,118.3798,10,7,2,4,0,1,0,0
37,Utility AI,21.11261,91,125.7191,9,4,1,5,1,0,0,0
38,Base AI,19.21622,112,73.5,5,5,2,4,2,1,0,0
39,Utility AI,37.33355,112,152.8408,12,8,1,9,6,0,0,0
40,Utility AI,46.05167,112,179.8992,12,9,1,12,9,1,0,0
41,Base AI,19.35404,105,71.75,8,6,1,3,2,0,0,0
42,Utility AI,57.18062,126,219.8112,14,6,1,17,12,1,0,0
43,No winner (Timeout),600.0126,63,80.05393,5,5,1,6,5,1,0,0
44,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
50,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
51,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
52,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
53,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
54,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
55,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
56,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
57,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
58,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
59,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
60,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
61,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
62,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
63,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
64,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
65,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
66,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
67,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
68,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
69,No winner (Timeout),600.002,0,0,0,0,0,0,0,0,0,0
