# AI Version: A3
# Test Type: 1v1
# Time: 20250628_175352
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Utility AI,25.80942,101.4835,124.3533,8,6,2,7,2,0,0,0
1,Utility AI,41.25461,111.3364,155.75,8,8,2,11,7,0,0,0
2,Base AI,20.31145,105.198,90.57233,8,2,2,6,0,0,0,0
3,Draw,26.98377,105,141.8557,11,3,1,8,2,0,0,0
4,Utility AI,55.90285,126,207.6254,14,11,1,16,11,0,0,0
5,Base AI,30.78678,115.7418,116.3474,11,5,2,8,3,0,0,0
6,Base AI,22.90883,113.4694,43.75,11,3,2,2,0,0,0,0
7,Base AI,26.95786,105,98.03317,12,3,1,7,2,0,0,0
8,Base AI,25.24786,102.212,84.37105,8,2,2,7,2,0,0,0
9,Base AI,23.02416,111.746,82.31226,12,4,2,4,0,0,0,0
10,Base AI,21.012,105,88.01183,11,3,1,5,0,0,0,0
11,Base AI,22.89208,103.618,57.75,7,3,2,5,1,0,0,0
12,Base AI,21.22729,107.6285,56.78469,9,4,3,3,0,0,0,0
13,Base AI,21.51522,110.6015,86.18221,12,0,1,6,0,0,0,0
14,Base AI,17.8315,105,100.9571,8,3,1,5,0,0,0,0
15,Utility AI,20.24973,88.69554,108.1077,6,2,2,6,0,0,0,0
16,Base AI,21.42219,112,78.71382,12,3,1,5,0,0,0,0
17,Base AI,31.05915,104.2824,58.38115,12,2,2,4,1,0,0,0
18,Base AI,19.93229,110.6208,45.60648,8,1,2,4,0,0,0,0
19,Base AI,21.31701,103.5332,60.44916,11,3,1,3,0,0,0,0
20,Base AI,14.07346,105,43.05009,4,2,2,3,0,0,0,0
21,Base AI,20.99033,105.7614,52.87453,9,3,2,3,0,0,0,0
22,Base AI,21.12812,105,86.71975,11,3,1,5,0,0,0,0
23,Base AI,14.90194,105,33.25,4,2,2,2,0,0,0,0
24,Base AI,22.49902,106.75,80.22415,10,3,2,5,0,0,0,0
25,Utility AI,25.85724,91,104.0516,13,3,1,6,0,0,0,0
26,Utility AI,20.07625,64.75,117.9685,8,1,1,7,1,0,0,0
27,Base AI,23.55519,104.4404,82.92341,11,2,2,4,0,0,0,0
28,Base AI,19.69538,101.4731,88.25903,8,4,2,4,0,0,0,0
29,Utility AI,39.91134,95.78288,141.7023,10,8,3,9,5,0,0,0
30,Base AI,22.07451,105.3144,62.00299,8,4,3,3,0,0,0,0
31,Base AI,23.39244,102.4786,53.05038,9,3,2,3,1,0,0,0
32,Base AI,70.53764,156.1578,231.8389,14,9,3,15,13,0,0,0
33,Base AI,26.50137,106.5947,88.46272,9,3,2,5,2,0,0,0
34,Base AI,24.35134,106.75,73.18461,10,3,2,5,1,0,0,0
35,Draw,31.52974,102.874,116.3223,13,7,2,5,1,0,0,0
36,Base AI,45.7458,118.9709,141.2615,13,6,1,11,8,0,0,0
37,Utility AI,21.5763,89.09785,114.8421,9,2,3,7,0,0,0,0
38,Utility AI,44.33107,56,162.75,4,8,1,12,11,0,3,0
39,Base AI,21.95632,106.0388,83.37695,12,5,1,4,0,0,0,0
40,Utility AI,77.87236,119,269.1222,13,9,1,23,19,0,0,0
41,Base AI,21.11393,103.567,95.2668,11,0,1,7,0,0,0,0
42,Draw,23.92955,105,118.8461,11,7,1,6,1,0,0,0
43,Base AI,24.39111,105.6987,78.64677,10,3,2,5,1,0,0,0
44,Utility AI,59.6447,139.9514,214.612,12,3,2,21,12,0,0,0
45,No winner (Timeout),600.0615,63,62.83434,5,2,1,6,3,0,0,0
46,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
50,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
51,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
52,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
53,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
54,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
55,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
56,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
57,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
58,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
59,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
60,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
61,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
62,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
63,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
64,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
65,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
66,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
67,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
68,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
69,No winner (Timeout),600.0671,0,0,0,0,0,0,0,0,0,0
