# AI Version: A3
# Test Type: 1v1
# Time: 20250629_105736
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,23.1249,105,89.92781,11,4,1,5,1,0,0,0
1,Utility AI,38.27771,84,162.9752,8,4,1,13,7,0,1,0
2,Base AI,31.0837,138.6676,91,10,9,3,5,2,2,0,1
3,Utility AI,35.42619,112,134.1775,12,6,1,8,3,2,0,0
4,Utility AI,16.50463,91,104.0222,9,5,1,4,0,0,0,0
5,Utility AI,34.44741,105,139.8466,11,12,1,6,6,2,2,0
6,Draw,26.58994,105,121.7059,11,10,1,4,2,0,0,0
7,Utility AI,58.13902,112,236.1379,12,10,1,15,13,0,0,0
8,Utility AI,16.02645,77,120.2235,7,4,1,4,1,0,0,0
9,Utility AI,16.97233,91,104.1578,9,5,1,4,0,1,0,0
10,Utility AI,17.47204,84,111.1123,8,5,1,4,1,0,0,0
11,Utility AI,36.67488,105,157.0176,11,13,1,6,6,1,0,0
12,Utility AI,46.827,91,188.111,9,8,1,11,10,2,0,0
13,Base AI,17.01237,112,73.5,9,9,1,1,0,1,0,0
14,Base AI,39.73005,169.75,103.25,19,8,2,4,1,7,0,0
15,Utility AI,57.24297,92.75,227.065,8,8,2,18,14,0,0,0
16,Utility AI,51.05713,105,195.9398,11,11,1,12,11,0,0,0
17,Utility AI,47.81957,98,187.3225,10,9,1,12,10,0,0,0
18,Utility AI,58.62985,140,199.6804,13,15,1,10,13,4,0,0
19,Utility AI,15.51956,70,102.198,6,3,1,4,1,1,1,0
20,Utility AI,26.69809,105,120.8946,11,11,1,3,2,1,0,0
21,Utility AI,20.82811,98,117.1021,10,4,1,6,1,0,0,0
22,Utility AI,26.84353,105,119.3505,11,6,1,6,2,3,0,0
23,Utility AI,15.59608,84,117.1392,8,2,1,5,0,0,0,0
24,Utility AI,17.88857,84,109.1016,8,3,1,6,1,0,0,0
25,Base AI,24.90638,112,98,9,10,1,3,3,1,0,0
26,Base AI,16.60923,133,58.03952,9,5,1,2,0,2,0,0
27,Utility AI,37.88225,112,151.3925,12,12,1,7,6,0,0,0
28,Draw,20.55,105,100.0129,11,4,1,4,0,0,0,0
29,Utility AI,77.95887,63,270.415,5,13,1,20,24,1,2,0
30,Base AI,42.04482,154,112.8651,18,11,1,3,3,4,0,0
31,Utility AI,39.42507,126,153.0625,14,11,1,6,5,1,0,0
32,Utility AI,49.32135,112,183.358,12,9,1,12,10,1,0,0
33,Base AI,31.9783,161,77.61458,16,7,1,3,1,5,0,0
34,Base AI,16.0603,134.75,39.14186,5,4,2,2,1,2,0,0
35,Utility AI,29.94139,119,119.4388,13,9,1,3,2,3,0,0
36,Utility AI,15.57138,77,110.3293,7,3,1,5,1,0,0,0
37,Utility AI,28.2027,112,117.7667,12,6,1,6,2,2,0,0
38,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
39,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),10000,0,0,0,0,0,0,0,0,0,0
