# AI Version: A3
# Test Type: 1v1
# Time: 20250629_094737
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,31.73537,147.1912,106.75,10,7,3,6,2,2,0,0
1,Base AI,21.69827,106.75,48.6939,6,1,3,4,0,1,0,0
2,Base AI,31.29193,113.75,65.69879,7,2,3,5,3,1,0,0
3,Base AI,26.55953,112,82.82989,12,3,1,5,1,1,0,0
4,Base AI,10.41739,112,38.5,2,4,2,1,0,1,0,1
5,Base AI,33.12599,121.4434,83.06412,9,5,3,6,3,1,0,0
6,Utility AI,33.34403,148.75,109.171,16,2,2,6,0,5,0,0
7,Base AI,46.1878,146.2249,87.5,16,7,2,6,5,5,0,0
8,Base AI,28.4029,107.9387,65.12177,9,2,4,5,1,1,0,0
9,Base AI,26.78815,108.7615,62.73309,8,5,2,3,2,1,0,0
10,Base AI,28.58293,125.8289,61.25,9,4,3,3,1,3,0,0
11,Base AI,89.88824,231,135.6795,18,11,4,6,6,6,0,0
12,Base AI,40.48192,168,91,14,9,1,3,5,5,0,0
13,Base AI,81.87849,171.5,243.6451,18,10,4,16,15,3,0,0
14,Base AI,31.30372,127.9701,54.25,11,4,3,3,1,4,0,4
15,Base AI,40.57697,161,112.797,19,8,2,5,1,5,0,0
16,Base AI,25.64918,145.6257,35,9,1,3,3,0,3,0,0
17,Base AI,14.92301,140,82.25,4,2,2,3,0,1,0,0
18,Base AI,27.17155,140,62.23382,9,2,3,5,0,4,0,1
19,Base AI,39.03235,126,99.11575,14,2,1,9,4,3,0,0
20,Base AI,22.62017,103.1707,63.24655,8,3,2,4,1,0,0,0
21,Base AI,16.2877,119,22.75,6,2,2,1,0,3,0,0
22,Base AI,32.1956,120.75,71.22787,6,3,4,6,2,0,0,0
23,Utility AI,27.59283,105,129.36,11,2,1,7,2,3,0,0
24,Base AI,30.71192,140,47.25,12,4,2,2,1,3,0,0
25,Base AI,30.71811,148.75,38.5,13,3,2,2,1,4,0,0
26,Base AI,27.72477,161,54.25,4,5,4,3,1,2,0,0
27,Base AI,81.74922,205.3691,220.177,23,14,2,12,13,4,0,0
28,Base AI,38.13134,165.4941,74.00417,17,6,3,3,0,5,0,0
29,Base AI,35.2372,140,93.78347,12,3,2,6,2,5,0,0
30,Base AI,22.48817,106.75,74.66101,10,4,2,3,0,1,0,0
31,Base AI,51.91427,168.6937,79.56453,14,3,3,6,1,3,0,0
32,Base AI,29.96772,126,98.31042,14,4,1,6,1,4,0,0
33,Base AI,27.39298,140,70.89807,13,5,1,3,1,3,0,0
34,Draw,41.3024,135.3842,138.3081,14,10,2,6,4,3,0,0
35,Base AI,34.6037,110.8322,85.37121,14,5,4,4,1,1,0,0
36,Base AI,41.64316,147,110.9863,17,3,1,7,2,3,0,0
37,Base AI,37.96355,126,119.5938,14,6,1,7,4,3,0,0
38,No winner (Timeout),600.0057,77,29.75,7,3,1,1,0,3,0,0
39,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
50,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
51,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
52,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
53,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
54,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
55,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
56,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
57,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
58,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
59,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
60,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
61,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
62,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
63,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
64,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
65,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
66,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
67,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
68,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
69,No winner (Timeout),600.075,0,0,0,0,0,0,0,0,0,0
